sourceId	targetId
Node1	"Gene Group 1"
Node2	"Gene Group 1"
Node3	"Gene Group 1"
Node4	"Gene Group 1"
Node5	"Gene Group 1"
Node6	"Gene Group 1"
Node7	"Gene Group 1"
Node8	"Gene Group 2"
Node9	"Gene Group 2"
Node10	"Gene Group 2"
Node11	"Gene Group 2"
Node12	"Gene Group 2"
Node13	"Gene Group 2"
Node14	"Gene Group 2"
Node15	"Gene Group 3"
Node16	"Gene Group 3"
Node17	"Gene Group 4"
Node18	"Gene Group 4"
Node19	"Gene Group 4"
Node20	"Gene Group 5"
Node21	"Gene Group 5"
Node22	"Gene Group 5"
Node23	"Gene Group 5"
Node24	"Gene Group 5"
Node25	"Gene Group 5"
Node26	"Gene Group 5"
Node27	"Gene Group 6"
Node28	"Gene Group 6"
Node29	"Gene Group 6"
Node30	"Gene Group 6"
Node31	"Gene Group 6"
Node32	"Gene Group 6"
Node33	"Gene Group 6"
Node34	"Gene Group 6"
Node35	"Gene Group 7"
Node36	"Gene Group 7"
Node37	"Gene Group 8"
Node38	"Gene Group 8"
Node39	"Gene Group 9"
Node40	"Gene Group 9"
Node41	"Gene Group 9"
Node42	"Gene Group 10"
Node43	"Gene Group 10"
Node44	"Gene Group 11"
Node45	"Gene Group 11"
Node46	"Gene Group 12"
Node47	"Gene Group 12"
