sourceId	targetId
Node1	"Cell membrane"
Node2	"compositionally biased region:Poly-Ser"
Node3	"G-protein coupled receptor"
Node4	Glycoprotein
Node5	"glycosylation site:N-linked (GlcNAc...)"
Node6	"GO:0001076~transcription factor activity- RNA polymerase II transcription factor binding"
Node7	"GO:0001609~G-protein coupled adenosine receptor activity"
Node8	"GO:0003810~protein-glutamine gamma-glutamyltransferase activity"
Node9	"GO:0004871~signal transducer activity"
Node10	"GO:0004930~G-protein coupled receptor activity"
Node1	"Cell membrane"
Node12	"compositionally biased region:Poly-Ser"
Node13	"G-protein coupled receptor"
Node14	Glycoprotein
Node15	"glycosylation site:N-linked (GlcNAc...)"
Node16	"GO:0001076~transcription factor activity- RNA polymerase II transcription factor binding"
Node17	"GO:0001609~G-protein coupled adenosine receptor activity"
Node18	"GO:0003810~protein-glutamine gamma-glutamyltransferase activity"
Node19	"GO:0004871~signal transducer activity"
Node20	"GO:0004930~G-protein coupled receptor activity"
Node1	"Cell membrane"
Node22	"compositionally biased region:Poly-Ser"
Node23	"G-protein coupled receptor"
Node24	Glycoprotein
Node25	"glycosylation site:N-linked (GlcNAc...)"
Node26	"GO:0001076~transcription factor activity- RNA polymerase II transcription factor binding"
Node27	"GO:0001609~G-protein coupled adenosine receptor activity"
Node28	"GO:0003810~protein-glutamine gamma-glutamyltransferase activity"
Node29	"GO:0004871~signal transducer activity"
Node30	"GO:0004930~G-protein coupled receptor activity"
