root	icon	id	name	group	type	description	size	timepoints
false	none	Node1	"Alternative splicing"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"Alternative splicing"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	3	1
false	none	Node2	Antioxidant	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	Antioxidant	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0	1
false	none	Node3	"Cell membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"Cell membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	3	1
false	none	Node4	"Cell membrane"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"Cell membrane"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	3	1
false	none	Node5	"Coated pit"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"Coated pit"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0	1
false	none	Node6	"compositionally biased region:Poly-Ala"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"compositionally biased region:Poly-Ala"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0	1
false	none	Node7	"compositionally biased region:Poly-Ser"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"compositionally biased region:Poly-Ser"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1	1
false	none	Node8	"compositionally biased region:Poly-Ser"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"compositionally biased region:Poly-Ser"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1	1
false	none	Node9	"disulfide bond"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"disulfide bond"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	2	1
false	none	Node10	"disulfide bond"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"disulfide bond"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	2	1
false	none	Node11	"Disulfide bond"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"Disulfide bond"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	2	1
false	none	Node12	"G-protein coupled receptor"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"G-protein coupled receptor"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2	1
false	none	Node13	"G-protein coupled receptor"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"G-protein coupled receptor"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2	1
false	none	Node14	Glycoprotein	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	Glycoprotein	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2	1
false	none	Node15	"glycosylation site:N-linked (GlcNAc...)"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"glycosylation site:N-linked (GlcNAc...)"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	2	1
false	none	Node16	"glycosylation site:N-linked (GlcNAc...)"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"glycosylation site:N-linked (GlcNAc...)"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2	1
false	none	Node17	"GO:0000287~magnesium ion binding"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0000287~magnesium ion binding"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0	1
false	none	Node18	"GO:0001076~transcription factor activity- RNA polymerase II transcription factor binding"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0001076~transcription factor activity- RNA polymerase II transcription factor binding"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0	1
false	none	Node19	"GO:0001609~G-protein coupled adenosine receptor activity"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0001609~G-protein coupled adenosine receptor activity"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0	1
false	none	Node20	"GO:0001921~positive regulation of receptor recycling"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0001921~positive regulation of receptor recycling"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0	1
false	none	Node21	"GO:0002548~monocyte chemotaxis"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0002548~monocyte chemotaxis"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0	1
false	none	Node22	"GO:0003810~protein-glutamine gamma-glutamyltransferase activity"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0003810~protein-glutamine gamma-glutamyltransferase activity"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	0	1
false	none	Node23	"GO:0004012~phospholipid-translocating ATPase activity"	C57B6_analy_10d6w_moderated_ttest_p_0.01_1283_probes.txt	"GO:0004012~phospholipid-translocating ATPase activity"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0	1
false	none	Node24	"GO:0004012~phospholipid-translocating ATPase activity"	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	"GO:0004012~phospholipid-translocating ATPase activity"	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	0	1
false	none	Node25	"GO:0004871~signal transducer activity"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0004871~signal transducer activity"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1	1
false	none	Node26	"GO:0004871~signal transducer activity"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0004871~signal transducer activity"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	1	1
false	none	Node27	"GO:0004930~G-protein coupled receptor activity"	C57B6_analy_10d24h_moderated_ttest_p_0.05_2783_probes.txt	"GO:0004930~G-protein coupled receptor activity"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2	1
false	none	Node28	"GO:0004930~G-protein coupled receptor activity"	C57B6_analy_10d24h_moderated_ttest_p_0.01_452_probes.txt	"GO:0004930~G-protein coupled receptor activity"	"ptsd -> mouse -> T10R1 -> mRNA_Microarray"	2	1
false	none	Node29	GO:0005622~intracellular	C57B6_analy_10d6w_moderated_ttest_p_0.05_4834_probes.txt	GO:0005622~intracellular	"ptsd -> mouse -> T10R42 -> mRNA_Microarray"	1	1
